,TITRE COMMENTAIRE,DATE EXPERIENCE,COMMENTAIRE,QUI A COMMENTÉ,NOMBRE AVIS LAISSÉ PAR CETTE PERSONNE,LOCALISATION DE LA PERSONNE QUI A COMMENTÉ,PRÉSENCE D'UNE RÉPONSE (booléen),QUI A RÉPONDU,RÉPONSE AU COMMENTAIRE,NOMBRE D'ÉTOILE
1046,1ère commande Brigitte Bardot,03 février 2023,"1ère commande Brigitte Bardot, très bons produits et prix attractifs, livraison rapide.",Soulié Aimée,2 avis,FR,True,Showroomprive.com,"Bonjour Aimée,

Toute l'équipe de Showroomprive.com tient à vous remercier pour le retour positif que vous avez pris soin de partager.

Votre commentaire nous touche sincèrement et sera transmis à notre équipe.

Bien cordialement,

Othmane",5
1047,Super colis bien reçu,05 février 2023,Utile,Marylene,7 avis,FR,True,Showroomprive.com,"Bonjour Marylène,

Nous vous remercions de votre confiance et fidélité.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
1048,Délais respectés,03 février 2023,"Délais respectés, produits correspondant, livraison correcte…
RAS tout est bien 👍",Rim,1 avis,FR,True,Showroomprive.com,"Bonjour Rim,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

Bonne journée de la part de toute l'équipe.

Bien à vous,

Othmane",4
1049,2 produits d'une seule vente en 2 livraison…,03 février 2023,"Les produits sont arrivés à la date prévue. Je regrette juste 2 produits envoyés en 2 colis avec des frais d'envoi fois 2 pour une même vente. Même si je l'ai su lors du règlement de la commande, ça me chiffonne. D'où l'étoile en moins.",Kanoue,4 avis,FR,True,Showroomprive.com,"Bonjour Karen,

Merci pour cet avis !

Savoir que nos produits ont répondu à vos attentes nous motive chaque jour davantage.

Par ailleurs, je vous informe avoir pris en charge votre réclamation concernant les frais de port de votre achat.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",4
1050,Qualité top,04 février 2023,"Qualité top, le produit est encore plus beau que sur les photos sur Showroomprive.
Et c'est tout doux !",Aurore,1 avis,FR,True,Showroomprive.com,"Bonjour Aurore,

Merci beaucoup d’avoir pris le temps de rédiger votre avis.

Toute l'équipe est très heureuse de vous lire et votre retour nous encourage à continuer dans ce sens.

Bien à vous,

Othmane",5
1051,Préparation decla commande trop longue,15 janvier 2023,Produit de qualité mais la préparation de commande trop longue,Naj Naj,1 avis,FR,True,Showroomprive.com,"Bonjour Nagate,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Nous restons évidemment disponibles si besoin.

Bien à vous,

Othmane",4
1052,Commande et Livraison,02 février 2023,Livraison retardée sans aucune information. Livraison incomplète,Julie,1 avis,FR,True,Showroomprive.com,"Bonjour Julie,

Nous sommes sincèrement désolés d'apprendre que vous ayez reçu votre commande incomplète.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir remonté cette anomalie auprès de notre direction afin d'y remédier prochainement.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",2
1053,expedition rapide,27 janvier 2023,"expedition rapide, colis bien soigné
délai respecté
j'adore la robe",vava,3 avis,FR,True,Showroomprive.com,"Bonjour Nicole,

Merci infiniment pour votre appréciation.

Nous sommes heureux de vous compter parmi nos clients.

Bien à vous,

Othmane",5
1054,Très bon produit,05 février 2023,Très bon produit. La qualité.....,Eric,4 avis,US,True,Showroomprive.com,"Bonjour Eric,

Merci pour cette note positive.

En espérant pouvoir à nouveau vous faire profiter de nos produits.

Bien à vous,

Othmane",5
1055,facilité de passer commande,31 janvier 2023,"facilité de passer commande, disponibilité du produit, rapidité d'envoi",Isabelle,1 avis,FR,True,Showroomprive.com,"Bonjour Isabelle,

Merci beaucoup d’avoir pris le temps de rédiger votre avis.

Toute l'équipe est très heureuse de vous lire et votre retour nous encourage à continuer dans ce sens.

Bien à vous,

Othmane",5
1056,Conforme à mes attentes aucun problème…,03 février 2023,Conforme à mes attentes aucun problème de livraison et date respectée avec même un peu d avance,CATHERINE,6 avis,FR,True,Showroomprive.com,"Bonjour Catherine,

Merci pour cet avis !

Savoir que nos produits ont répondu à vos attentes nous motive chaque jour davantage.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",5
1057,Produit conforme à la description,16 janvier 2023,"Produit conforme à la description
Seul bémol la livraison je n’ai pu choisir en point relais",Client,2 avis,FR,True,Showroomprive.com,"Bonjour Wilfrid,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",4
1058,Bonne expérience,03 février 2023,"Bon délais d’expédition, et produit en bon état",Nathalie,1 avis,FR,True,Showroomprive.com,"Bonjour Nathalie,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

A très bientôt sur nos ventes.

Bien à vous,

Othmane",5
1059,La rapidité de la livraison,26 janvier 2023,"La rapidité de la livraison. Pour l'instant je ne peux en dire plus, parce que je l'ai fait envoyer directement chez la personne qui a son anniversaire le 9 février, et donc pas encore ouvert",Marguerite,1 avis,FR,True,Showroomprive.com,"Bonjour Marguerite,

Merci pour cette note positive.

En espérant pouvoir à nouveau vous faire profiter de nos produits.

Bien à vous,

Othmane",5
1060,"Fiable,rapide et sérieux et conforme",03 février 2023,Utile,France,1 avis,FR,True,Showroomprive.com,"Bonjour Fabienne,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

Nous restons évidemment disponibles si besoin.

Bien à vous,

Othmane",5
1061,La livraison ok mais l'article est de…,03 février 2023,"La livraison ok mais l'article est de mauvaise qualité, manteau trop fin",Catherine,1 avis,FR,True,Showroomprive.com,"Bonjour Catherine,

Je suis sincèrement navré d'apprendre que vos articles ne vous aient pas apporté entière satisfaction.

Je vous présente mes excuses pour ce désagrément.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",2
1062,peu satisfaite,24 janvier 2023,peu satisfaite - délai de livraison non respecté par le transporteur alors que j'avais reçu une confirmation du changement de date - le produit livré ne correspondait pas du tout à ma commande -,Florence RICHE,2 avis,FR,True,Showroomprive.com,"Bonjour Florence,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Je vous présente nos excuses pour ce désagrément.

Après vérification, nous constatons que votre réclamation a été prise en charge et traitée par nos services en date du 25/01/2023.

Par ailleurs, je vous informe avoir remonté cette anomalie auprès de notre Direction afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",3
1063,produits de qualité à prix attractifs,02 février 2023,"produits de qualité à prix attractifs, livraison parfaite.",Marie evelyne,6 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Vous nous faites part de votre satisfaction concernant la qualité de nos articles ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1064,Attention aux nombres de colis,02 février 2023,"Commande de 4 poêles Tefal via Showroomprive.
Un mail m'indique que mon colis m'attends au point relais.
J'y vais, le monsieur me dit d'ouvrir mon colis devant lui car ça arrive souvent que le colis ne soit pas complet. Effectivement il n'y a que 2 poêles. Il cherche alors parmi sa montagne de colis et en trouve un 2eme à mon nom avec exactement le même numéro de colis. Donc s'il n'avait pas réagit je serai réparti avec 1 seul colis mais la totalité de ma commande aurait été considérée comme livrée ! Attention donc!",Diane,4 avis,FR,True,Showroomprive.com,"Bonjour Diane,

Merci de partager avec nous votre avis.

Nous faisons suite à votre message au sujet de la livraison séparée de votre commande.

En effet, la séparation de colis d'une commande est déterminés en fonction de la taille, du poids de chaque produit.

Toutefois, nous vous informons avoir remonté votre observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",4
1065,Livraison plus rapide que prévue.,05 février 2023,Utile,VIVIEN Sandrine,7 avis,FR,True,Showroomprive.com,"Bonjour Sandrine,

Vous nous faites part de votre satisfaction quant à la livraison rapide de votre commande.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1066,Livraison trop longue,05 février 2023,"Tout est parfait, sauf les delais de livraisons beaucoup
Trop longs
B Bruyeres",Madame bruyeres,17 avis,FR,True,Showroomprive.com,"Bonjour Madame Bruyeres,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",4
1067,Parures très belle et de bonne qualité.,02 février 2023,"Parures très belle et de bonne qualité.
Colis arrivé dans les temps au point Relay.",FABIENNE,2 avis,FR,True,Showroomprive.com,"Bonjour Fabienne,

Vous nous faites part de votre satisfaction concernant la qualité de nos articles ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",4
1068,Satisfaction totale,02 février 2023,"La livraison est arrivée plus tôt que prévue, le vêtement est conforme à la présentation qui en était faite lors de la vente : la taille bien sur mais surtout la couleur qui est conforme à ce que j'attendais.",Valerie,1 avis,FR,True,Showroomprive.com,"Bonjour Valerie,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1069,Le prix des produits intéressant très…,01 février 2023,"Le prix des produits était très intéressant, seul bémol, le temps de livraison un mois après l'achat, c'est beaucoup trop long.",Laurence,1 avis,FR,True,Showroomprive.com,"Bonjour Laurence,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",4
1070,Excellent produit,05 février 2023,Utile,Mekraz,1 avis,FR,True,Showroomprive.com,"Bonjour Mekraz,

Vous nous faites part de votre satisfaction quant au produit commandé.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",4
1071,Livraison avec 6 jours d'avance,01 février 2023,Utile,Mme BRAUD NICOLE,3 avis,FR,True,Showroomprive.com,"Bonjour Nicole,

Vous nous faites part de votre satisfaction quant à la livraison rapide de votre commande.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1072,Envoie rapide et livraison avant la…,02 février 2023,Envoie rapide et livraison avant la date annoncée,Sarah,1 avis,FR,True,Showroomprive.com,"Bonjour Sarah,

Vous nous faites part de votre satisfaction quant à la livraison rapide de votre commande.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1073,Showroomprivé un site d'arnaque,04 février 2023,"J'ai passé une commande début janvier 2023 pour deux doudounes, n'ayant jamais reçu la commande, je demande au transporteur Colissimo de faire une recherche, ce dernier me répond que par erreur ils ont renvoyé le colis à Showroomprivé.
Je fais donc une réclamation sur le site qui veut ma pièce d'identité et une attestation de non réception, ce que je fais, mais voilà que un mois après, le site me répond sans plus d'explication que le colis m'a bien été livré!!! Je comprends pourquoi : en fait ma commande coûte 209€, ils n'ont simplement pas envie de me rembourser, alors que légalement le vendeur est tenu responsable jusqu'à la preuve de réception du colis par l'acheteur.
J'ai écris à Showroom pour leur demander la preuve d'une signature de ma part, car moi j'ai bien envoyé le mail de Colissimo prouvant que le colis leur a été retourné.
A ce jour aucune réponse de leur part pour un quelconque remboursement.
C'est un site de voleur et de menteur, je ne me laisserai pas faire par leur malhonnêteté.
N'achetez surtout pas chez ce marchand!",PERSON Madelaine,4 avis,FR,True,Showroomprive.com,"Bonjour Madelaine,

Nous sommes sincèrement désolés d'apprendre que vous ayez pas reçu votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre requête.

Cordialement,

Stéphanie",1
1074,Mécontentement,11 janvier 2023,"Bonjour. Je n'ai pas reçu la totalité de la commande passée. Blocage au niveau de la société ""DPD"" qui viennent quand nous sommes au travail et après plusieurs passages et une tentative d'être livrée sur un point relais, pas de nouvelles. Les colis seraient au dépot à 100 km de notre domicile...Impossible de les joindre.Honteux!! Pas de nouvelles non plus de showroomprive.com....",Perrine,1 avis,FR,True,Showroomprive.com,"Bonjour Perrine,

Nous sommes sincèrement désolés d'apprendre que vous ayez pas reçu votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre requête.

Cordialement,

Stéphanie",1
1075,Bon produit je suis très satisfaite et…super,02 février 2023,Bon produit je suis très satisfaite et livraison très rapide merci,Mme tobarane pascale,3 avis,FR,True,Showroomprive.com,"Bonjour Pascale,

Vous nous faites part de votre satisfaction quant aux produits commandés ainsi que la livraison rapide.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1076,Satisfaite de ma commande,04 février 2023,Le produit reçu Est Conforme aux attentes et le délai de livraison respecté ainsi que le lieu de livraison,Nelly,2 avis,FR,True,Showroomprive.com,"Bonjour Nelly,

Merci pour votre commentaire et votre fidélité qui va faire plaisir à l’ensemble de nos équipes.

Rassurez-vous pour la commande en cours l’expérience sera similaire à la commande préalablement réceptionnée.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1077,Fausse promotion Je commande 2 valises à 50 % je n’en…,01 février 2023,Je commande 2 valises à 50 % je n’en reçois qu’une seule. Une réclamation compliquée avec pièce d’identité et attestation sur l’honneur reste sans réponse. Conclusion je déconseille fortement et je ne solliciterai désormais plus ce site,LEPINE,1 avis,FR,True,Showroomprive.com,"Bonjour Lepine,

Nous sommes sincèrement désolés d'apprendre qu'un article manque dans votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre requête.

Cordialement,

Stéphanie",1
1078,Rapide et conforme,28 janvier 2023,"Livraison rapide comme prévue, articles conformes à la description.",Titigama,1 avis,FR,True,Showroomprive.com,"Bonjour Christine,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1079,Colis arrivé dans les délais,02 février 2023,"Colis arrivé dans les délais, en bon état et je suis satisfaite des produits que j'avais commandé",Marie,1 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1080,Bonne expérience,02 février 2023,Bonne expérience ! Produit en bon état sauf que le couvercle de la sauteuse était plus grand que son diamètre. Pas trop gênant mais surprenant !!! Expédition arrivée comme prévue même un peu plus tôt.,MOULINIER,3 avis,FR,True,Showroomprive.com,"Bonjour Nicole,

Nous sommes sincèrement désolés d'apprendre que vous ayez reçu le couvercle de la sauteuse plus grand que son diamètre dans votre commande.

Nous vous présentons nos excuses pour ce désagrément.

Nous vous informons avoir pris en charge votre réclamation et vous confirmons que vous serez recontactée afin de faire suite à votre requête.

Cordialement,

Stéphanie",4
1081,Vraiment déçu reçu qu'un article sur 2,02 février 2023,"Vraiment déçu j'ai commandé 2 articles et j'en et reçu qu'un au bout de 1 mois.
L'autre rupture alors qu'il y en avait.",Brunet,1 avis,FR,True,Showroomprive.com,"Bonjour Natacha,

Merci pour votre évaluation, nous comprenons votre ressenti et nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service et nous vous présentons nos excuses!

Les marques nous réservent un stock prédéfini.

Cependant, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu.

Nous vous informons avoir remonté cette anomalie auprès de notre Direction afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",2
1082,Colis incomplet,04 février 2023,Colis incomplet. Dommage que la poêle à crêpes ne soit pas disponible.,Eric,3 avis,FR,True,Showroomprive.com,"Bonjour Eric,

Merci pour votre évaluation, nous comprenons votre ressenti et nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service et nous vous présentons nos excuses!

Les marques nous réservent un stock prédéfini.

Cependant, il arrive dans certains cas que des différences se fassent entre le stock initialement commandé et le stock reçu.

Nous vous informons avoir remonté cette anomalie auprès de nos services afin d'y remédier prochainement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",3
1083,envoi envoi rapide et produit de…,02 février 2023,envoi envoi rapide et produit de qualité comme indiqué dans le descriptif,Liline,3 avis,DE,True,Showroomprive.com,"Bonjour Liline,

Vous nous faites part de votre satisfaction concernant la qualité de vos produits commandés ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1084,Excellent produit,03 février 2023,Utile,anne,7 avis,FR,True,Showroomprive.com,"Bonjour Anne,

Vous nous faites part de votre satisfaction quant aux produits commandés.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1085,Car tout est parfait,04 février 2023,Utile,Christine+Massaux,4 avis,FR,True,Showroomprive.com,"Bonjour Christine,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1086,Bijoux commandé ne ressemble pas du…,09 janvier 2023,Bijoux commandé ne ressemble pas du tout à la photo.Materiaux de basse qualité et probablement de fausse pierre (labradorite) .ce produit semble tout droit venu de site de dropshipping ! Honte à showroom de proposer ce genre de produit avec des prix de base exorbitant nous laissant croire que l'on achète un produit de haute qualité. Bref je suis très déçu,Émily,1 avis,FR,True,Showroomprive.com,"Bonjour Emily,

Je suis sincèrement navrée d'apprendre que votre commande ne vous ait pas apporté entière satisfaction.

Nous sommes navrés que vous ayez ce sentiment. En effet, la qualité de notre approvisionnement est au cœur de nos préoccupations.

C’est pourquoi, nous vous assurons que tous les produits en vente sur notre site sont authentiques et ont été acquis de façon licite.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",1
1087,Produits conformes à mes attentes et…,03 février 2023,Produits conformes à mes attentes et emballages parfaits. Le délai de livraison est un peu long mais l'info est connue dès le passage de la commande.,Sophie,1 avis,FR,True,Showroomprive.com,"Bonjour Sophie,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1088,R.a.s,31 janvier 2023,R.a.s. transaction positive. Délai de livraison trop long qui est sans doute dû au fournisseur !,Client,8 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Je vous remercie pour votre appréciation.

Nous vous assurons que nous travaillons constamment pour améliorer de plus en plus notre service!

Ce sont vos commentaires qui nous permettent de le faire.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de notre Direction.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Stéphanie",5
1089,Livraison dans les délais et article…,02 février 2023,Livraison dans les délais et article conforme à l'attente.,Pascale,1 avis,FR,True,Showroomprive.com,"Bonjour Pascale,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1090,très bien,05 janvier 2023,"fidèle à showroom depuis des années, je suis totalement satisfaite de mes achats et du traitement des retours. Par contre certains marchands du Market place ne sont pas aussi fiables. Bien faire la différence, car ce ne sont pas les mêmes prestations.",laurabrams,39 avis,FR,True,Showroomprive.com,"Bonjour Laura,

Vous nous faites part de votre satisfaction concernant vos achats et du traitement de vos retours sur notre site.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1091,une belle économie,02 février 2023,Utile,Jocelyne,2 avis,FR,True,Showroomprive.com,"Bonjour Jocelyne,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

Bonne journée de la part de toute l'équipe.

Ghita",4
1092,Rien à dire!!,27 janvier 2023,Utile,Christophe,1 avis,FR,True,Showroomprive.com,"Bonjour Christophe,

Merci infiniment pour votre appréciation, nous sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1093,Une honte,01 février 2023,"L'expérience s'est bien passée dans l'ensemble. Je suis déçu par la qualité du tissu de l'article. Il ne vaut clairement pas ce qui est indiqué et ressemble plus à une contrefaçon, c'est honteux.",Audrey Savy,2 avis,FR,True,Showroomprive.com,"Bonjour Audrey,

Je suis sincèrement navré d'apprendre que votre commande ne vous aient pas apporté entière satisfaction.

Je vous présente mes excuses pour ce désagrément.

Par ailleurs, je vous informe avoir pris en charge votre réclamation.

Rassurez-vous, je vous contacterai aujourd'hui afin d'échanger avec vous à ce sujet.

Bien à vous,

Othmane",2
1094,L’article est comme c’était prévu,01 février 2023,Utile,MARIE CLAUDE,10 avis,FR,True,Showroomprive.com,"Bonjour Marie,

Vous nous faites part de votre satisfaction quant aux produits commandés.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes et sommes heureux de vous compter parmi nos clients.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1095,Tout s’est bien déroulé mais le tarif …,25 janvier 2023,Tout s’est bien déroulé mais le tarif livraison était excessif,Isabelle boussemart,5 avis,FR,True,Showroomprive.com,"Bonjour Isabelle,

Nous vous remercions d'avoir partagé cette appréciation si positive avec les internautes.

Nous continuerons à faire notre maximum pour vous apporter entière satisfaction.

À très bientôt sur Showroomprive.com.

Bien à vous,

Othmane",4
1096,Livraison avant date prévue,04 février 2023,"Livraison avant date prévue
Produit conforme",Emilien RAGUIN,3 avis,FR,True,Showroomprive.com,"Bonjour Emilien,

Vous nous faites part de votre satisfaction concernant la conformité de votre commande ainsi que son délai de livraison rapide.

Je vous remercie pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes,

Cordialement,

Stéphanie",5
1097,Vente meuble avec photos trompeuses,03 février 2023,"Vente meuble avec photos trompeuses !
Attention Showroomprivé vend des meubles avec des photos trompeuses, ils indiquent une table en melaminé, on ne s’imagine pas un seul instant que même les pieds sont de la même nature.
Conclusion,
Pensant faire une bonne affaire avec une jolie table, j’ai finalement acheté une table de très piètre qualité à 350 euros !!
Honteux je ne commanderais plus chez eux !
Mieux vaux aller à IKEA pour ce tarif là !!",Mélanie Massounde,2 avis,FR,True,Showroomprive.com,"Bonjour Mélanie,

Je suis sincèrement désolée d'apprendre que vos meubles ne vous aient pas apporté satisfaction.

Je vous présente nos excuses pour ce désagrément.

Après vérification, je vous confirme votre réclamation a bien été prise en charge par nos services pour vous apporter un meilleur traitement.

Si besoin, nous restons à votre disposition pour tout renseignement.

Cordialement,

Nawal",2
1098,le produit livré est gris alors qu'il…,02 février 2023,le produit livré est gris alors qu'il était vendu pour blanc :-(,"S.R., Paris 16",29 avis,FR,True,Showroomprive.com,"Bonjour Sarah,

Je suis sincèrement désolée d'apprendre que vous ayez reçu votre veste non conforme.

Je vous présente nos excuses pour ce désagrément.

Je vous informe avoir pris en charge votre réclamation et vous confirme que vous serez recontactée aujourd'hui afin de faire suite à votre requête.

Bien à vous,

Nawal",1
1099,linge de lit,01 février 2023,qualite irreprochable mais toujours delai trop long pour le recu des articles,Colette,6 avis,FR,True,Showroomprive.com,"Bonjour Colette,

Un grand merci pour votre avis !

Nous sommes heureux de vous compter parmi nos clients.

Pour vous expliquer, les contraintes logistiques inhérentes à la nature des ventes événementielles ne nous permettent pas d’accélérer la livraison.

En effet, bien que nous mettions tout en œuvre pour réduire au minimum les délais de livraison, nous restons tributaires de la date de réception de la marchandise envoyée par notre fournisseur, ainsi que du temps nécessaire à la préparation de votre commande.

Par ailleurs, je vous informe avoir remonté cette observation auprès de nos services.

Bien à vous,

Nawal",5
1100,Livraison rapide pour les chaussures…,31 janvier 2023,Livraison rapide pour les chaussures kickers parfait,LYDIA LOUISOR,4 avis,FR,True,Showroomprive.com,"Bonjour Lydia,

Vous nous faites part de votre satisfaction quant à la livraison rapide de votre commande.

Nous vous remercions pour votre commentaire qui va faire plaisir à l'ensemble de nos équipes.

A très bientôt sur nos ventes.

Cordialement,

Nawal",5
1101,Livraison rapide et sans probleme,03 février 2023,Application facile avec des livraisons rapides et sans problèmes,Nathalie,1 avis,FR,True,Showroomprive.com,"Bonjour Nathalie,

Nous sommes ravis de lire que vous avez apprécié le professionnalisme de notre équipe et la qualité de nos prestations !

Merci beaucoup d'avoir pris le temps de nous laisser un commentaire.

A très bientôt sur nos ventes.

Cordialement,

Nawal",5
